,comment_text
0," Died in 2014 or not? I think it's better to settle the matter here instead of going back and forth. So, the IP user claims that the whole thing is a hoax; that she died in Europe years ago and that there's no Hawaii obit. First of all, is the ""Forevermissed"" a user submitted website? 24.206.199.151: Do you know her family personally or do you know somebody who knows the family? We'd like to get a more elaborate explainantion behind the claim that she's been dead years ago. I see that her supposed obituary is pretty detailed. Are the rest of the biographical information accurate, though? And the picture? "
1,"I'm Sorry I'm sorry I screwed around with someones talk page. It was very bad to do. I know how having the templates on their talk page helps you assert your dominance over them. I know I should bow down to the almighty administrators. But then again, I'm going to go play outside with your mom. 76.122.79.82"
2,"In history there could be a consensus view or a mainstream view, in theology there is no mainstream or consensus view, since most of theology depends upon the church membership of the theologian. Historical scholarship aims at universality and objectivity, while theology makes no such claims. It is true that there are millions who believe that JEDP was birthed in hell (or would believe it if they knew what JEDP means so in principle their view is notable, but as Enns said, it is a fringe view in the academe, even among scholars who actually disagree with JEDP. The sources used to build Wikipedia are academic sources, therefore JEDP and its 20 21st century offspring are given by default the weight they have inside the academia, while the view of the fundamentalists is treated according to WP:UNDUE. This does not mean that Wikipedia could say that the fundamentalists are theologically wrong (Wikipedia has no theology of its own but it is entitled to say that inside historical scholarship they are a fringe view. Of course, this does not exclude serious scholarship done at religious faculties, since as Ehrman said in one of his bestsellers, US mainline Protestant and Catholic theological seminaries and divinity schools do teach mandatory historical criticism classes. So, in a sense, scholars from such faculties are thoroughly acquainted with historical criticism and built their careers upon its assumptions. Only fundamentalist seminaries and divinity schools choose to default against historical criticism. They are free to do this, but this cuts against their claims of being mainstream historians."
3,"
Yes, it looks much better than before. At the top of the page, it says ""This article needs additional citations for verification may be britannica encyclopedia could help adding citations I dunno. Cheers, "
4,"Maybe, but that does not lead to the conclusion that the TAIP aircraft remained in Africa and did not return back after ferrying the soldiers. The article on colaco.net also does not shed any light on this."
5,Stupid peace of shit stop deleting my stuff asshole go die and fall in a hole go to hell!
6,"Fucked with the wrong muchacho. 21:19, July 23, 2005 (UTC)"
7,"For your information, you have already been reported. Fair minded? Talk about yourself and your refusal to allow for relevant information, which is factual, from being posted. You are obviously the biased party, and an inappropriate representative for Wikipedia."
8,"A Bisexual, like a homosexual or a heterosexual, is not defined by sexual activity. (Much like a 15 year old boy who is attracted to a girl sexually but has never had sex is still straight A person who is actually sexually attracted aroused by the same sex as well as the opposite sex is bisexual."
9,"Ok, I just ask. For your experience, what you think about the portal?"
10,"Don't mean to bother you I see that you're writing something regarding removing anything posted here and if you do oh well but if not and you can acctually discuss this with me then even better. I'd like to ask you to take a closer look at the Premature wrestling deaths catagory and the men listed in it, surely these men belong together in some catagory. Is there anything that you think we can do with the catagory besides delting it?"
11,"LMAO, what a n00b. Go and listen to manele!"
12,Perhaps GoodDay you could provide a diff for this thought as I am unaware of it. BTW I hope the move is going went ok!
13,Burn Deck If that'd guy's burn deck is like what I think it is than he is in for a blrude awakening Leviathan motherfucker 
14,Hey why you are spreading misconceptions and trying to spread false information to the people.You not even know who won the battle and who lost.you are the cheapest person on the earth.Bloody ignorant fool.Check sources before spreading rumors
15,"Have you seen the reference to their claim, you moron This is not a source. It s their POV. Once I have more time I will reduce your Pashtun nationalist POVs here on Wiki and give order to my uncles and cousins the execution of Pashtuns in the entire northern Afghanistan down to Gardez, Jalalabad, Lashkargah, Logar, Paghman, Laghman, Kunduz, Herat, Farah whereever immigrant descandants of violent Kuchis settled and took non Pashtun lands away and traditional Tajik countries. 84.59.190.210"
16,"
No, I just quoted Bryant that talks about popular and secondary creator. They are literally in the same paragraph.Talk "
17,"REPLY ABOVE:
That was me, loser. The UN defines Vietnam to be part of Southeast Asia. And far as I know Vietnam is part of ASEAN, and used to be part of French Indochina with Laos and all those shit countries Anyway your culture has always been more influenced by SEA than Han Chinese (as in proper Yangtze Han Chinese, not the fringe indigenous tribes in Guangzhou Guangxi Just admit that you vietnamese are all a bunch of wannabe crap people. ALL the east asian people I've spoken to thinks of Vietnam as a very integral part of SEA, and we all think you're backward, dirty and speak in a horrible swearing language. Doesn't matter what crap you spout on Wikipedia, won't change the way people in the real world think."
18,"Bye! Don't look, come or think of comming back! Tosser."
19,"Userbox
Hello. A userbox you are using (Template:User queerrights) has been moved to user space per WP:GUS. The new link is and leave any questions you may still have on my talk page. Thank you."
